movie_name,Country,Release Date,IMDB Rating,Metascore,TomatoMeter,production_budget,domestic_box_office,international_box_office,rating,genre,Total Box Office,ROI
Percy Jackson: Sea of Monsters,USA,07 Aug 2013,6.7,52,90%,90000000,68559554,132300000,PG,Adventure,200859554,223.18%
Alvin and the Chipmunks: The Road Chip,USA,18 Dec 2015,7.3,74,90%,90000000,85886987,163630969,PG,Adventure,249517956,277.24%
Pixels,"USA, China, Canada",24 Jul 2015,5.8,30,72%,90000000,78765986,165275818,PG-13,Adventure,244041804,271.16%
Epic,USA,24 May 2013,6.2,48,67%,100000000,107518682,155275759,PG,Adventure,262794441,262.79%
Hercules,"USA, France",27 Jun 1997,5.3,34,91%,100000000,72688614,170700000,PG-13,Action,243388614,243.39%
The Hangover Part III,USA,23 May 2013,6.7,61,81%,103000000,112200072,249800000,R,Comedy,362000072,351.46%
300: Rise of an Empire,USA,07 Mar 2014,7.5,67,66%,110000000,106580051,224200000,R,Action,330780051,300.71%
The Smurfs 2,"USA, France, Canada, Belgium",31 Jul 2013,7.5,76,51%,110000000,71017784,277529739,PG,Adventure,348547523,316.86%
The Wolverine,"USA, UK",26 Jul 2013,7.2,55,90%,115000000,132556852,283900000,PG-13,Action,416456852,362.14%
RoboCop,USA,17 Jul 1987,6.4,58,28/100,120000000,58607007,184374792,PG-13,Action,242981799,202.48%
The Hunger Games: Catching Fire,USA,22 Nov 2013,7.8,76,54%,130000000,424668047,440200000,PG-13,Adventure,864868047,665.28%
The Croods,USA,22 Mar 2013,6.8,59,72%,135000000,187168425,385900000,PG,Adventure,573068425,424.50%
Turbo,USA,17 Jul 2013,6.9,54,51%,135000000,83028130,203868448,PG,Adventure,286896578,212.52%
How to Train Your Dragon 2,USA,13 Jun 2014,6.4,52,18%,145000000,177002924,437583346,PG,Adventure,614586270,423.85%
Mr. Peabody & Sherman,USA,07 Mar 2014,7.4,75,73%,145000000,111506430,158300000,PG,Adventure,269806430,186.07%
Thor: The Dark World,USA,08 Nov 2013,6.3,28,30%,150000000,206362140,438240376,PG-13,Action,644602516,429.74%
White House Down,USA,28 Jun 2013,7.0,56,77%,150000000,73103784,132336603,PG-13,Thriller/Suspense,205440387,136.96%
Frozen,USA,27 Nov 2013,6.9,65,41%,150000000,400738009,871731901,PG,Musical,1272469910,848.31%
47 Ronin,"USA, UK, Japan, Hungary",25 Dec 2013,6.6,53,17%,175000000,38362475,113354340,PG-13,Action,151716815,86.70%
Maleficent,USA,30 May 2014,5.6,32,71%,180000000,241407328,517129407,PG,Adventure,758536735,421.41%
Pacific Rim,USA,12 Jul 2013,7.8,66,13%,190000000,101802906,309200000,PG-13,Action,411002906,216.32%
The Amazing Spider-Man 2,USA,02 May 2014,6.4,37,76%,200000000,202853933,506142403,PG-13,Action,708996336,354.50%
Transformers: Age of Extinction,"USA, China, Hong Kong",27 Jun 2014,7.0,58,84%,210000000,245439076,858600000,PG-13,Action,1104039076,525.73%
The Hobbit: The Desolation of Smaug,"New Zealand, USA",13 Dec 2013,5.2,42,43%,250000000,258366855,702000000,PG-13,Adventure,960366855,384.15%
The Lone Ranger,USA,03 Jul 2013,6.0,32,83%,275000000,89302115,170700000,PG-13,Western,260002115,94.55%
Danny Collins,USA,10 Apr 2015,7.0,62,35%,10000000,5637066,2828779,R,Comedy,8465845,84.66%
Strangerland,"Ireland, Australia",10 Jul 2015,5.0,23,57%,10000000,17472,143625,R,Drama,161097,1.61%
Plastic,UK,26 Sep 2014,6.6,67,97%,10000000,0,575371,R,Action,575371,5.75%
Big Eyes,"USA, Canada",25 Dec 2014,6.8,N/A,80%,10000000,14482031,12835841,PG-13,Drama,27317872,273.18%
American Heist,"Canada, Luxembourg",24 Jul 2015,6.3,77,66%,10000000,0,2341218,R,Action,2341218,23.41%
Rosewater,USA,27 Nov 2014,4.8,N/A,85%,10000000,3128941,56776,R,Drama,3185717,31.86%
While We're Young,USA,17 Apr 2015,7.3,N/A,69%,10000000,7582065,9921763,R,Comedy,17503828,175.04%
Barbecue,France,26 Dec 2014,7.3,51,92%,10000000,388,247177,Not Rated,Comedy,247565,2.48%
The Bélier Family,"France, Belgium",17 Dec 2014,7.5,88,73%,11000000,0,82438670,Not Rated,Comedy,82438670,749.44%
If I Stay,USA,22 Aug 2014,7.7,69,97%,11000000,50474843,27881327,PG-13,Drama,78356170,712.33%
Woman in Gold,UK,10 Apr 2015,7.2,50,0%,11000000,33307793,25278614,PG-13,Drama,58586407,532.60%
Brooklyn,"UK, Canada, Ireland",25 Nov 2015,6.4,81,88%,11000000,38322743,23753398,PG-13,Drama,62076141,564.33%
The Fault in Our Stars,USA,06 Jun 2014,7.1,69,89%,12000000,124872350,182294484,PG-13,Drama,307166834,2559.72%
Trash,"UK, Brazil, Germany",09 Oct 2015,6.1,62,20%,12000000,17484,6535702,R,Adventure,6553186,54.61%
Top Five,USA,12 Dec 2014,7.2,64,35%,12000000,25317379,684362,R,Comedy,26001741,216.68%
The Drop,USA,12 Sep 2014,7.7,78,87%,12600000,10724389,8330145,R,Drama,19054534,151.23%
About Last Night,USA,14 Feb 2014,6.9,66,29%,13000000,48637684,1808176,R,Romantic Comedy,50445860,388.05%
St. Vincent,USA,24 Oct 2014,6.8,94,80%,13000000,44137712,10699522,PG-13,Comedy,54837234,421.82%
Ex Machina,UK,24 Apr 2015,6.4,30,34%,13000000,25440971,12917421,R,Thriller/Suspense,38358392,295.06%
Suffragette,"UK, France",12 Oct 2015,7.1,76,81%,14000000,4702420,29342489,PG-13,Drama,34044909,243.18%
Mr. Turner,"UK, France, Germany, USA",31 Oct 2014,8.0,73,1%,14000000,3958546,21228480,R,Drama,25187026,179.91%
Freedom,USA,05 Apr 2015,6.7,41,18%,14500000,0,872757,R,Drama,872757,6.02%
Wild,USA,19 Dec 2014,6.3,38,55%,15000000,37880356,14580187,R,Drama,52460543,349.74%
The Imitation Game,"UK, USA",25 Dec 2014,6.8,73,80%,15000000,91125143,136615320,PG-13,Drama,227740463,1518.27%
When the Game Stands Tall,USA,22 Aug 2014,6.1,37,81%,15000000,30127963,10949,PG,Drama,30138912,200.93%
The November Man,"USA, UK",27 Aug 2014,7.7,72,18%,15000000,25018119,9802216,R,Thriller/Suspense,34820335,232.14%
A Most Wanted Man,"UK, USA, Germany",01 Aug 2014,6.7,38,91%,15000000,17237855,18831035,R,Thriller/Suspense,36068890,240.46%
Automata,"Spain, Bulgaria",17 Oct 2014,6.6,68,25%,15000000,0,6775458,R,Thriller/Suspense,6775458,45.17%
The Theory of Everything,"UK, Japan, USA",26 Nov 2014,3.1,12,24%,15000000,35893537,87434155,PG-13,Drama,123327692,822.18%
"Men, Women & Children",USA,17 Oct 2014,6.4,30,16%,16000000,705908,979495,R,Comedy,1685403,10.53%
The Homesman,"USA, France",18 May 2014,6.5,56,89%,16000000,2429989,5787582,R,Western,8217571,51.36%
Left Behind,"USA, Canada",03 Oct 2014,7.2,N/A,99%,16000000,14019924,6749285,PG-13,Thriller/Suspense,20769209,129.81%
Let's Be Cops,USA,13 Aug 2014,7.4,60,28%,17000000,82390774,54500000,R,Comedy,136890774,805.24%
Escobar: Paradise Lost,"France, Spain, Belgium, Panama",26 Jun 2015,5.8,38,61%,17000000,195792,3721887,R,Drama,3917679,23.05%
Mune: Guardian of the Moon,France,14 Oct 2015,7.7,87,73%,17000000,0,14534046,PG,Adventure,14534046,85.49%
"McFarland, USA",USA,20 Feb 2015,5.3,37,24%,17000000,44480275,1227649,PG,Drama,45707924,268.87%
And So It Goes,USA,25 Jul 2014,4.9,39,67%,18000000,15160801,2759212,PG-13,Comedy,17920013,99.56%
Birdman or (The Unexpected Virtue of Ignorance),USA,14 Nov 2014,6.3,30,61%,18000000,42340598,60874496,R,Black Comedy,103215094,573.42%
Wolves,"France, Canada",28 Aug 2014,7.0,79,29%,18000000,0,94953,R,Horror,94953,0.53%
Tammy,USA,02 Jul 2014,7.5,80,22%,20000000,84525432,11882223,R,Comedy,96407655,482.04%
Endless Love,USA,14 Feb 2014,6.6,42,59%,20000000,23438250,11279923,PG-13,Drama,34718173,173.59%
A Most Violent Year,"USA, United Arab Emirates",30 Jan 2015,7.2,60,44%,20000000,5749134,3097741,R,Drama,8846875,44.23%
Selma,"UK, USA, France",09 Jan 2015,6.7,81,43%,20000000,52076908,14699668,PG-13,Drama,66776576,333.88%
Burnt,"USA, UK",30 Oct 2015,7.4,30,35%,20000000,13651946,23121564,R,Comedy,36773510,183.87%
The Light Between Oceans,"UK, New Zealand, USA, India, Australia",02 Sep 2016,7.3,55,75%,20000000,12545979,9735753,PG-13,Drama,22281732,111.41%
Inherent Vice,USA,09 Jan 2015,7.0,50,9%,20000000,8110975,6661371,R,Drama,14772346,73.86%
Little Boy,"Mexico, USA",24 Apr 2015,6.6,35,9%,20000000,6485961,11283338,PG-13,Drama,17769299,88.85%
The Hundred-Foot Journey,"USA, India, United Arab Emirates",08 Aug 2014,5.8,38,12%,22000000,54235441,40035047,PG,Romantic Comedy,94270488,428.50%
The Water Diviner,"Australia, USA",26 Dec 2014,6.8,54,79%,22500000,4200117,26854610,R,Drama,31054727,138.02%
The Wedding Ringer,USA,16 Jan 2015,6.0,55,26%,23000000,64460211,15711385,R,Comedy,80171596,348.57%
Think Like a Man Too,USA,20 Jun 2014,5.9,49,36%,24000000,65028687,4999246,PG-13,Romantic Comedy,70027933,291.78%
Draft Day,USA,11 Apr 2014,6.5,47,65%,25000000,28842237,1005243,PG-13,Drama,29847480,119.39%
The Gambler,USA,25 Dec 2014,6.5,66,86%,25000000,33680992,5037039,R,Drama,38718031,154.87%
Jane Got a Gun,USA,29 Jan 2016,4.1,N/A,80%,25000000,1513793,2257552,R,Western,3771345,15.09%
The Giver,"South Africa, Canada, USA",15 Aug 2014,4.1,20,32%,25000000,45090374,10000000,PG-13,Drama,55090374,220.36%
Kung Fu Jungle,"China, Hong Kong",24 Apr 2015,6.7,29,0%,25000000,129115,0,Not Rated,Action,129115,0.52%
Red Sky,"USA, Russia",13 Mar 2014,7.4,N/A,29%,25000000,0,91116,PG-13,Action,91116,0.36%
Accidental Love,"USA, UK",10 Feb 2015,5.7,40,73%,26000000,0,135436,PG-13,Comedy,135436,0.52%
The Best of Me,USA,17 Oct 2014,6.1,53,65%,26000000,26766213,14293205,PG-13,Drama,41059418,157.92%
Viy,Soviet Union,27 Nov 1967,6.4,63,8%,26000000,0,34246770,Not Rated,Adventure,34246770,131.72%
Brick Mansions,"France, Canada, USA, Spain",25 Apr 2014,7.4,68,22%,28000000,20396829,53024395,PG-13,Action,73421224,262.22%
Pitch Perfect 2,USA,15 May 2015,5.6,40,10%,29000000,184296230,103329238,PG-13,Comedy,287625468,991.81%
John Wick,"USA, UK, China",24 Oct 2014,2.1,1,66%,30000000,43037835,33197166,R,Action,76235001,254.12%
Get on Up,"UK, USA",01 Aug 2014,6.2,40,20%,30000000,30569935,2769933,PG-13,Drama,33339868,111.13%
Wild Card,USA,14 Jan 2015,6.2,47,100%,30000000,3200,4312589,R,Action,4315789,14.39%
United Passions,France,19 Jun 2014,6.8,57,33%,30000000,918,167914,Not Rated,Drama,168832,0.56%
Deliver Us from Evil,USA,02 Jul 2014,5.7,28,66%,30000000,30577122,57379496,R,Horror,87956618,293.19%
Thunder and the House of Magic,"Belgium, UK, France",25 Dec 2015,5.7,41,25%,34000000,4091,62578429,Not Rated,Adventure,62582520,184.07%
The Maze Runner,"USA, UK",19 Sep 2014,7.3,79,54%,34000000,102427862,245891999,PG-13,Thriller/Suspense,348319861,1024.47%
Hitman: Agent 47,"USA, UK, Germany, Canada",21 Aug 2015,5.4,32,30%,35000000,22467450,59715353,R,Action,82182803,234.81%
Sabotage,USA,28 Mar 2014,6.4,58,16%,35000000,10508518,7867925,R,Action,18376443,52.50%
